ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32134,32134.TXT,0.33613,0.26190,0.29441,3

ROUGE-1+StopWordRemoval,FNS32134,32134.TXT,0.49302,0.41258,0.44923,3

ROUGE-2+StopWordRemoval,FNS32134,32134.TXT,0.14860,0.10752,0.12476,3

ROUGE-SU4+StopWordRemoval,FNS32134,32134.TXT,0.24738,0.15465,0.19032,3

ROUGE-L+StopWordRemoval,FNS32376,32376.TXT,0.39531,0.24155,0.29987,4

ROUGE-1+StopWordRemoval,FNS32376,32376.TXT,0.46221,0.38510,0.42015,4

ROUGE-2+StopWordRemoval,FNS32376,32376.TXT,0.21362,0.11830,0.15227,4

ROUGE-SU4+StopWordRemoval,FNS32376,32376.TXT,0.30784,0.15425,0.20552,4

ROUGE-L+StopWordRemoval,FNS32135,32135.TXT,0.27281,0.30313,0.28717,4

ROUGE-1+StopWordRemoval,FNS32135,32135.TXT,0.42445,0.45777,0.44048,4

ROUGE-2+StopWordRemoval,FNS32135,32135.TXT,0.14601,0.15094,0.14843,4

ROUGE-SU4+StopWordRemoval,FNS32135,32135.TXT,0.23099,0.19364,0.21067,4

ROUGE-L+StopWordRemoval,FNS30991,30991.TXT,0.43750,0.24327,0.31268,4

ROUGE-1+StopWordRemoval,FNS30991,30991.TXT,0.54386,0.33316,0.41320,4

ROUGE-2+StopWordRemoval,FNS30991,30991.TXT,0.22229,0.12070,0.15645,4

ROUGE-SU4+StopWordRemoval,FNS30991,30991.TXT,0.31767,0.13982,0.19417,4

ROUGE-L+StopWordRemoval,FNS32136,32136.TXT,0.28290,0.39528,0.32978,4

ROUGE-1+StopWordRemoval,FNS32136,32136.TXT,0.32788,0.51623,0.40104,4

ROUGE-2+StopWordRemoval,FNS32136,32136.TXT,0.13388,0.23650,0.17098,4

ROUGE-SU4+StopWordRemoval,FNS32136,32136.TXT,0.21061,0.26481,0.23462,4

ROUGE-L+StopWordRemoval,FNS32378,32378.TXT,0.34464,0.32767,0.33594,3

ROUGE-1+StopWordRemoval,FNS32378,32378.TXT,0.43828,0.43725,0.43777,3

ROUGE-2+StopWordRemoval,FNS32378,32378.TXT,0.16609,0.19176,0.17800,3

ROUGE-SU4+StopWordRemoval,FNS32378,32378.TXT,0.25861,0.20971,0.23161,3

ROUGE-L+StopWordRemoval,FNS32139,32139.TXT,0.34497,0.33913,0.34203,3

ROUGE-1+StopWordRemoval,FNS32139,32139.TXT,0.36220,0.46807,0.40839,3

ROUGE-2+StopWordRemoval,FNS32139,32139.TXT,0.11566,0.15261,0.13159,3

ROUGE-SU4+StopWordRemoval,FNS32139,32139.TXT,0.21628,0.19893,0.20724,3

ROUGE-L+StopWordRemoval,FNS32810,32810.TXT,0.31728,0.26321,0.28773,4

ROUGE-1+StopWordRemoval,FNS32810,32810.TXT,0.34851,0.43009,0.38503,4

ROUGE-2+StopWordRemoval,FNS32810,32810.TXT,0.09459,0.08671,0.09048,4

ROUGE-SU4+StopWordRemoval,FNS32810,32810.TXT,0.19110,0.14868,0.16724,4

ROUGE-L+StopWordRemoval,FNS31601,31601.TXT,0.39077,0.22505,0.28561,4

ROUGE-1+StopWordRemoval,FNS31601,31601.TXT,0.47403,0.34102,0.39667,4

ROUGE-2+StopWordRemoval,FNS31601,31601.TXT,0.21065,0.13144,0.16187,4

ROUGE-SU4+StopWordRemoval,FNS31601,31601.TXT,0.29652,0.15350,0.20229,4

ROUGE-L+StopWordRemoval,FNS31843,31843.TXT,0.39145,0.32821,0.35705,3

ROUGE-1+StopWordRemoval,FNS31843,31843.TXT,0.43298,0.46329,0.44762,3

ROUGE-2+StopWordRemoval,FNS31843,31843.TXT,0.16060,0.17253,0.16635,3

ROUGE-SU4+StopWordRemoval,FNS31843,31843.TXT,0.25228,0.21112,0.22987,3

ROUGE-L+StopWordRemoval,FNS31844,31844.TXT,0.31765,0.18413,0.23313,3

ROUGE-1+StopWordRemoval,FNS31844,31844.TXT,0.41632,0.30038,0.34897,3

ROUGE-2+StopWordRemoval,FNS31844,31844.TXT,0.07608,0.04444,0.05611,3

ROUGE-SU4+StopWordRemoval,FNS31844,31844.TXT,0.19455,0.09447,0.12719,3

ROUGE-L+StopWordRemoval,FNS30874,30874.TXT,0.43819,0.28753,0.34722,5

ROUGE-1+StopWordRemoval,FNS30874,30874.TXT,0.45038,0.40534,0.42667,5

ROUGE-2+StopWordRemoval,FNS30874,30874.TXT,0.22606,0.17924,0.19995,5

ROUGE-SU4+StopWordRemoval,FNS30874,30874.TXT,0.31705,0.20296,0.24749,5

ROUGE-L+StopWordRemoval,FNS31040,31040.TXT,0.31502,0.25795,0.28364,3

ROUGE-1+StopWordRemoval,FNS31040,31040.TXT,0.37037,0.38240,0.37629,3

ROUGE-2+StopWordRemoval,FNS31040,31040.TXT,0.10258,0.08386,0.09228,3

ROUGE-SU4+StopWordRemoval,FNS31040,31040.TXT,0.19302,0.13291,0.15742,3

ROUGE-L+StopWordRemoval,FNS31042,31042.TXT,0.32530,0.39030,0.35485,3

ROUGE-1+StopWordRemoval,FNS31042,31042.TXT,0.33817,0.54238,0.41660,3

ROUGE-2+StopWordRemoval,FNS31042,31042.TXT,0.13423,0.18379,0.15515,3

ROUGE-SU4+StopWordRemoval,FNS31042,31042.TXT,0.21691,0.23017,0.22335,3

ROUGE-L+StopWordRemoval,FNS31165,31165.TXT,0.40388,0.32658,0.36114,3

ROUGE-1+StopWordRemoval,FNS31165,31165.TXT,0.46501,0.47745,0.47115,3

ROUGE-2+StopWordRemoval,FNS31165,31165.TXT,0.19507,0.15750,0.17428,3

ROUGE-SU4+StopWordRemoval,FNS31165,31165.TXT,0.30393,0.20156,0.24238,3

ROUGE-L+StopWordRemoval,FNS31846,31846.TXT,0.40304,0.24277,0.30302,3

ROUGE-1+StopWordRemoval,FNS31846,31846.TXT,0.42062,0.37427,0.39610,3

ROUGE-2+StopWordRemoval,FNS31846,31846.TXT,0.09646,0.07206,0.08249,3

ROUGE-SU4+StopWordRemoval,FNS31846,31846.TXT,0.20841,0.12390,0.15541,3

ROUGE-L+StopWordRemoval,FNS31604,31604.TXT,0.34443,0.20430,0.25647,3

ROUGE-1+StopWordRemoval,FNS31604,31604.TXT,0.43420,0.30285,0.35682,3

ROUGE-2+StopWordRemoval,FNS31604,31604.TXT,0.14265,0.07473,0.09808,3

ROUGE-SU4+StopWordRemoval,FNS31604,31604.TXT,0.24891,0.11046,0.15301,3

ROUGE-L+StopWordRemoval,FNS32936,32936.TXT,0.35274,0.29704,0.32250,4

ROUGE-1+StopWordRemoval,FNS32936,32936.TXT,0.36166,0.39958,0.37968,4

ROUGE-2+StopWordRemoval,FNS32936,32936.TXT,0.14881,0.15182,0.15030,4

ROUGE-SU4+StopWordRemoval,FNS32936,32936.TXT,0.22764,0.17539,0.19813,4

ROUGE-L+StopWordRemoval,FNS31969,31969.TXT,0.40256,0.34989,0.37438,3

ROUGE-1+StopWordRemoval,FNS31969,31969.TXT,0.51645,0.46193,0.48767,3

ROUGE-2+StopWordRemoval,FNS31969,31969.TXT,0.20173,0.22019,0.21056,3

ROUGE-SU4+StopWordRemoval,FNS31969,31969.TXT,0.30372,0.24964,0.27404,3

ROUGE-L+StopWordRemoval,FNS31608,31608.TXT,0.29640,0.18697,0.22929,4

ROUGE-1+StopWordRemoval,FNS31608,31608.TXT,0.36691,0.31162,0.33701,4

ROUGE-2+StopWordRemoval,FNS31608,31608.TXT,0.11445,0.08266,0.09599,4

ROUGE-SU4+StopWordRemoval,FNS31608,31608.TXT,0.20747,0.12100,0.15286,4

ROUGE-L+StopWordRemoval,FNS32939,32939.TXT,0.52750,0.25888,0.34731,3

ROUGE-1+StopWordRemoval,FNS32939,32939.TXT,0.46179,0.36924,0.41036,3

ROUGE-2+StopWordRemoval,FNS32939,32939.TXT,0.28306,0.14988,0.19599,3

ROUGE-SU4+StopWordRemoval,FNS32939,32939.TXT,0.37480,0.16083,0.22507,3

ROUGE-L+StopWordRemoval,FNS32025,32025.TXT,0.55233,0.38965,0.45694,4

ROUGE-1+StopWordRemoval,FNS32025,32025.TXT,0.64210,0.41537,0.50443,4

ROUGE-2+StopWordRemoval,FNS32025,32025.TXT,0.41075,0.21154,0.27926,4

